time,SOI,ENSO
31/01/1996,1.6,Nina
29/02/1996,0.4,Nina
31/03/1996,1.9,Nina
30/04/1996,1.3,Nina
31/05/1996,0.5,Neutral
30/06/1996,1.9,Neutral
31/07/1996,1.1,Neutral
31/08/1996,1.2,Neutral
30/09/1996,1,Neutral
31/10/1996,1,Neutral
30/11/1996,-0.1,Neutral
31/12/1996,1.5,Neutral
31/01/1997,0.8,Neutral
28/02/1997,2.9,Neutral
31/03/1997,-0.7,Neutral
30/04/1997,-1,Nino
31/05/1997,-2.2,Nino
30/06/1997,-2.3,Nino
31/07/1997,-1.2,Nino
31/08/1997,-2.4,Nino
30/09/1997,-2.4,Nino
31/10/1997,-2.4,Nino
30/11/1997,-2,Nino
31/12/1997,-1.6,Nino
31/01/1998,-4.4,Nino
28/02/1998,-3.4,Nino
31/03/1998,-4,Nino
30/04/1998,-2.4,Nino
31/05/1998,0.4,Neutral
30/06/1998,1.6,Nina
31/07/1998,2,Nina
31/08/1998,1.9,Nina
30/09/1998,1.7,Nina
31/10/1998,1.8,Nina
30/11/1998,1.7,Nina
31/12/1998,2.3,Nina
31/01/1999,3,Nina
28/02/1999,1.6,Nina
31/03/1999,2.1,Nina
30/04/1999,2.3,Nina
31/05/1999,0.4,Nina
30/06/1999,0.4,Nina
31/07/1999,0.9,Nina
31/08/1999,0.6,Nina
30/09/1999,-0.1,Nina
31/10/1999,1.6,Nina
30/11/1999,1.7,Nina
31/12/1999,2.4,Nina
31/01/2000,1.1,Nina
29/02/2000,2.7,Nina
31/03/2000,2.2,Nina
30/04/2000,2,Nina
31/05/2000,0.6,Nina
30/06/2000,-0.3,Nina
31/07/2000,-0.3,Nina
31/08/2000,1.2,Nina
30/09/2000,1.4,Nina
31/10/2000,1.8,Nina
30/11/2000,3,Nina
31/12/2000,1.3,Nina
31/01/2001,1.6,Nina
28/02/2001,2.8,Nina
31/03/2001,1.5,Nina
30/04/2001,0.3,Neutral
31/05/2001,-0.8,Neutral
30/06/2001,0.5,Neutral
31/07/2001,-0.3,Neutral
31/08/2001,-0.7,Neutral
30/09/2001,0.3,Neutral
31/10/2001,-0.1,Neutral
30/11/2001,1.1,Neutral
31/12/2001,-1.4,Neutral
31/01/2002,0.7,Neutral
28/02/2002,1.8,Neutral
31/03/2002,-0.4,Neutral
30/04/2002,-0.1,Neutral
31/05/2002,-1.4,Nino
30/06/2002,-0.4,Nino
31/07/2002,-0.8,Nino
31/08/2002,-1.6,Nino
30/09/2002,-1,Nino
31/10/2002,-0.6,Nino
30/11/2002,-0.7,Nino
31/12/2002,-1.8,Nino
31/01/2003,-0.3,Nino
28/02/2003,-1.1,Nino
31/03/2003,-0.5,Nino
30/04/2003,-0.2,Neutral
31/05/2003,-0.5,Neutral
30/06/2003,-1,Neutral
31/07/2003,0.5,Neutral
31/08/2003,0.2,Neutral
30/09/2003,-0.2,Neutral
31/10/2003,0,Neutral
30/11/2003,-0.5,Neutral
31/12/2003,1.8,Neutral
31/01/2004,-2.2,Neutral
29/02/2004,2,Neutral
31/03/2004,0.7,Neutral
30/04/2004,-1.5,Neutral
31/05/2004,1.7,Neutral
30/06/2004,-1.4,Nino
31/07/2004,-0.8,Nino
31/08/2004,-0.5,Nino
30/09/2004,-0.6,Nino
31/10/2004,-0.1,Nino
30/11/2004,-1.1,Nino
31/12/2004,-1.3,Nino
31/01/2005,0.6,Nino
28/02/2005,-5.2,Nino
31/03/2005,0.5,Nino
30/04/2005,-1,Neutral
31/05/2005,-1.3,Neutral
30/06/2005,0.7,Neutral
31/07/2005,0.3,Neutral
31/08/2005,-0.6,Neutral
30/09/2005,0.6,Neutral
31/10/2005,2,Nina
30/11/2005,-0.3,Nina
31/12/2005,0,Nina
31/01/2006,2.7,Nina
28/02/2006,0.2,Nina
31/03/2006,2.9,Nina
30/04/2006,1.8,Nina
31/05/2006,-0.8,Neutral
30/06/2006,-0.4,Neutral
31/07/2006,-1,Neutral
31/08/2006,-1.7,Nino
30/09/2006,-1,Nino
31/10/2006,-2.1,Nino
30/11/2006,0.1,Nino
31/12/2006,-0.5,Nino
31/01/2007,-1.3,Nino
28/02/2007,-0.1,Nino
31/03/2007,0.3,Neutral
30/04/2007,-0.2,Neutral
31/05/2007,-0.2,Nina
30/06/2007,0.9,Nina
31/07/2007,-0.5,Nina
31/08/2007,0.7,Nina
30/09/2007,0.3,Nina
31/10/2007,1.2,Nina
30/11/2007,1.4,Nina
31/12/2007,2.7,Nina
31/01/2008,2.9,Nina
29/02/2008,4.4,Nina
31/03/2008,2.4,Nina
30/04/2008,1.1,Nina
31/05/2008,-0.1,Nina
30/06/2008,1,Nina
31/07/2008,0.5,Nina
31/08/2008,1.7,Neutral
30/09/2008,2,Neutral
31/10/2008,2.1,Nina
30/11/2008,2.2,Nina
31/12/2008,2.4,Nina
31/01/2009,1.8,Nina
28/02/2009,3.1,Nina
31/03/2009,0.7,Nina
30/04/2009,1.3,Nina
31/05/2009,-0.2,Neutral
30/06/2009,0.2,Nino
31/07/2009,0.4,Nino
31/08/2009,-0.3,Nino
30/09/2009,0.5,Nino
31/10/2009,-2,Nino
30/11/2009,-1,Nino
31/12/2009,-1.2,Nino
31/01/2010,-1.8,Nino
28/02/2010,-2.4,Nino
31/03/2010,-1.1,Nino
30/04/2010,2,Nino
31/05/2010,1.5,Nina
30/06/2010,0.6,Nina
31/07/2010,3,Nina
31/08/2010,3,Nina
30/09/2010,3.7,Nina
31/10/2010,2.9,Nina
30/11/2010,2.1,Nina
31/12/2010,4.8,Nina
31/01/2011,3.8,Nina
28/02/2011,4.5,Nina
31/03/2011,4.2,Nina
30/04/2011,3.1,Nina
31/05/2011,0.6,Nina
30/06/2011,0.4,Nina
31/07/2011,1.6,Nina
31/08/2011,0.7,Nina
30/09/2011,1.7,Nina
31/10/2011,1.2,Nina
30/11/2011,1.8,Nina
31/12/2011,4.1,Nina
31/01/2012,1.8,Nina
29/02/2012,0.8,Nina
31/03/2012,1.2,Nina
30/04/2012,-0.4,Nina
31/05/2012,0.1,Nina
30/06/2012,-0.7,Neutral
31/07/2012,-0.1,Neutral
31/08/2012,-0.3,Neutral
30/09/2012,0.4,Neutral
31/10/2012,0.5,Neutral
30/11/2012,0.4,Neutral
31/12/2012,-1,Neutral
31/01/2013,-0.1,Neutral
28/02/2013,-0.4,Neutral
31/03/2013,2.5,Neutral
30/04/2013,0.4,Neutral
31/05/2013,1.3,Neutral
30/06/2013,2,Neutral
31/07/2013,1.3,Neutral
31/08/2013,0.3,Neutral
30/09/2013,0.5,Neutral
31/10/2013,-0.1,Neutral
30/11/2013,1.2,Neutral
31/12/2013,0.1,Neutral
31/01/2014,2.4,Neutral
28/02/2014,0.1,Neutral
31/03/2014,-1.5,Neutral
30/04/2014,1.3,Neutral
31/05/2014,0.9,Neutral
30/06/2014,0.3,Neutral
31/07/2014,-0.3,Neutral
31/08/2014,-1.2,Neutral
30/09/2014,-1.2,Nino
31/10/2014,-1,Nino
30/11/2014,-1.5,Nino
31/12/2014,-0.9,Nino
31/01/2015,-1.4,Nino
28/02/2015,0.4,Nino
31/03/2015,-1.2,Nino
30/04/2015,-0.1,Nino
31/05/2015,-1.2,Nino
30/06/2015,-0.9,Nino
31/07/2015,-1.9,Nino
31/08/2015,-2.4,Nino
30/09/2015,-2.7,Nino
31/10/2015,-2.8,Nino
30/11/2015,-0.8,Nino
31/12/2015,-0.9,Nino
31/01/2016,-3.6,Nino
29/02/2016,-3.2,Nino
31/03/2016,-0.1,Nino
30/04/2016,-2,Nino
31/05/2016,0.7,Nino
30/06/2016,1.1,Neutral
31/07/2016,0.7,Nina
31/08/2016,1.2,Nina
30/09/2016,2,Nina
31/10/2016,-0.4,Nina
30/11/2016,-0.2,Nina
31/12/2016,0.5,Nina
31/01/2017,0.3,Nina
28/02/2017,-0.1,Neutral
31/03/2017,1.5,Neutral
30/04/2017,-0.3,Neutral
31/05/2017,0.4,Neutral
30/06/2017,-0.7,Neutral
31/07/2017,1.3,Neutral
31/08/2017,0.9,Neutral
30/09/2017,1,Nina
31/10/2017,1.5,Nina
30/11/2017,1.5,Nina
31/12/2017,-0.2,Nina
31/01/2018,1.8,Nina
28/02/2018,-0.8,Nina
31/03/2018,2.4,Nina
30/04/2018,0.8,Nina
31/05/2018,0.6,Nina
30/06/2018,-0.2,Neutral
31/07/2018,0.4,Neutral
31/08/2018,-0.5,Nino
30/09/2018,-1.5,Nino
31/10/2018,0.6,Nino
30/11/2018,-0.1,Nino
31/12/2018,1.7,Nino
31/01/2019,-0.1,Nino
28/02/2019,-2.3,Nino
31/03/2019,-0.5,Nino
30/04/2019,0.2,Nino
31/05/2019,-0.7,Nino
30/06/2019,-0.7,Nino
31/07/2019,-0.6,Nino
31/08/2019,-0.2,Neutral
30/09/2019,-1.9,Neutral
31/10/2019,-0.6,Neutral
30/11/2019,-1.4,Neutral
31/12/2019,-0.9,Neutral
31/01/2020,0.3,Neutral
29/02/2020,-0.1,Neutral
31/03/2020,-0.2,Neutral
30/04/2020,0.3,Neutral
31/05/2020,0.7,Neutral
30/06/2020,-0.6,Neutral
31/07/2020,0.7,Nina
31/08/2020,1.8,Nina
30/09/2020,1.5,Nina
31/10/2020,0.8,Nina
30/11/2020,1.1,Nina
31/12/2020,3,Nina
31/01/2021,3.2,Nina
28/02/2021,2.5,Nina
31/03/2021,0.6,Nina
30/04/2021,0.6,Nina
31/05/2021,0.8,Nina
30/06/2021,0.7,Nina
31/07/2021,2.3,Nina
31/08/2021,1,Nina
30/09/2021,1.3,Nina
31/10/2021,1.2,Nina
30/11/2021,1.6,Nina
31/12/2021,2.5,Nina
